Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,earnph,agesq
150590,324722098909891,June,PA,3927.8366,865.38,40,44,1,,26,2,7,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1.0,1,21.6345,676
150639,708903304995532,June,PA,3344.3586,1211.53,50,44,1,,36,1,7,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1.0,0,24.2306,1296
150703,40829091948379,June,PA,3450.156,1153.84,40,44,1,,36,2,1,2,3,"Native, Born In US",2,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1.0,1,28.845999999999997,1296
150760,124963098001004,June,PA,3731.3368,1442.3,40,46,1,,38,2,1,2,2,"Native, Born In US",2,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit",Yes,,Employed-At Work,1.0,1,36.0575,1444
150766,160621099944309,June,PA,3450.156,1384.61,40,44,1,,37,2,1,2,6,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1.0,1,34.615249999999996,1369
150858,440209952955992,June,PA,3731.3368,903.84,50,44,1,,36,2,1,2,5,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,18.076800000000002,1296
151011,910052839449650,June,PA,3067.3957,2884.61,50,44,1,,63,2,1,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1.0,1,57.6922,3969
151123,495984103013299,June,PA,3967.3214,750.0,40,44,1,,43,2,1,1,1,"Native, Born In US",2,Elementary and secondary schools (6111),2330,Government - State,Yes,,Employed-Absent,1.0,1,18.75,1849
151230,490823093548929,June,PA,3958.0148,1000.0,45,44,1,,44,2,1,2,10,"Native, Born In US",2,Elementary and secondary schools (6111),2300,Government - Local,Yes,,Employed-At Work,1.0,1,22.22222222222222,1936
151272,927012818449410,June,PA,3248.7126,1269.23,40,44,1,,46,2,1,3,10,"Native, Born In US",2,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1.0,1,31.73075,2116
151512,314089880957406,June,RI,406.11699999999996,1134.61,40,44,1,6.0,64,2,7,0,0,"Foreign Born, US Cit By Naturalization",1,Elementary and secondary schools (6111),2320,"Private, For Profit",No,No,Employed-At Work,1.0,1,28.365249999999996,4096
151557,475968709066409,June,RI,472.1012,1057.0,50,44,1,,60,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1.0,1,21.14,3600
151652,840407975069696,June,RI,488.3989,1461.53,40,46,1,,46,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1.0,1,36.53825,2116
151721,954030068907571,June,SC,3128.8925,913.46,40,44,2,,41,2,6,2,8,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,1.0,1,22.8365,1681
151728,16094850113109,June,SC,2398.9258,553.84,40,44,1,,63,1,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2320,"Private, For Profit",No,No,Employed-Absent,1.0,0,13.846,3969
151780,582475529500999,June,SC,1918.7534,1076.92,40,44,1,,53,2,1,1,4,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-Absent,1.0,1,26.923000000000002,2809
151877,708906594998085,June,SC,3244.2704,865.0,40,44,1,,26,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1.0,1,21.625,676
152001,840500037926417,June,SC,1953.9386,692.3,40,44,1,,52,2,1,2,4,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1.0,1,17.307499999999997,2704
152817,84272074909493,June,TX,3732.5981,807.0,35,44,1,,34,2,1,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1.0,1,23.057142857142857,1156
153003,504009944109858,June,TX,4042.9762,942.3,40,44,1,1.0,35,2,1,0,0,"Foreign Born, Not a US Citizen",7,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-Absent,1.0,1,23.557499999999997,1225
153220,889850873570944,June,TX,3660.8566,1192.3,40,44,1,,45,2,5,1,3,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-Absent,1.0,1,29.807499999999997,2025
153319,30588005644240,June,TX,4754.5663,923.07,60,44,2,,25,2,7,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-Absent,1.0,1,15.384500000000001,625
153333,49794480017009,June,TX,3857.7872,1057.69,50,44,1,,31,2,2,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-Absent,1.0,1,21.1538,961
153602,810310981040084,June,TX,3842.1282,961.53,40,44,1,,49,2,1,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1.0,1,24.038249999999998,2401
153611,810530811240084,June,TX,3618.0791,1095.23,55,44,1,,55,2,1,1,4,"Foreign Born, US Cit By Naturalization",7,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1.0,1,19.913272727272727,3025
154040,899730472840684,June,TX,3891.6575,880.0,40,44,2,,43,2,1,1,3,"Native, Born In US",7,Elementary and secondary schools (6111),2320,Government - Local,No,No,Employed-At Work,1.0,1,22.0,1849
154092,889219440769401,June,UT,1576.3305,2884.61,40,44,1,,55,1,1,1,4,"Native, Born Abroad Of US Parent(s)",8,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1.0,0,72.11525,3025
154275,910260502870084,June,UT,1535.1479,1153.84,35,44,1,,44,2,7,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1.0,1,32.966857142857144,1936
154426,105927068909191,June,VT,417.6298,400.0,20,44,1,,44,2,1,2,6,"Native, Born In US",1,Motion pictures and video industries (5121),2340,"Private, Nonprofit",No,No,Employed-Absent,1.0,1,20.0,1936
154446,205639058909873,June,VT,330.0172,807.0,40,45,1,,58,2,1,0,0,"Native, Born Abroad Of US Parent(s)",1,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1.0,1,20.175,3364
154473,408905905991260,June,VT,407.7457,250.0,20,44,1,,31,2,7,0,0,"Native, Born In US",1,"Civic, social, advocacy organizations, and grantmaking and giving services (8132, 8133, 8134)",2340,"Private, Nonprofit",No,No,Employed-At Work,1.0,1,12.5,961
154511,560964305075049,June,VT,330.0172,780.0,30,45,1,,58,2,4,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2320,Government - Local,No,No,Employed-At Work,1.0,1,26.0,3364
154584,850006912190192,June,VT,314.0985,1115.0,40,46,1,,52,2,5,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1.0,1,27.875,2704
154671,405813038909970,June,VT,419.539,1692.3,35,46,1,,43,2,1,3,8,"Native, Born In US",1,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit",Yes,,Employed-At Work,1.0,1,48.35142857142857,1849
155030,450107974034697,June,VA,2388.1107,1346.15,40,44,1,,61,1,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1.0,0,33.65375,3721
155094,594964009092199,June,VA,2933.4797,980.76,40,44,1,,43,1,1,2,8,"Native, Born In US",5,Elementary and secondary schools (6111),2320,Government - Local,No,No,Employed-At Work,1.0,0,24.519,1849
155352,815622098909277,June,VA,2283.7913,961.0,60,44,1,,47,2,1,1,3,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1.0,1,16.016666666666666,2209
155354,850107978740895,June,VA,2502.1731,701.0,40,44,1,,32,2,1,2,1,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-Absent,1.0,1,17.525,1024
155416,592984401075389,June,WA,3008.8673,961.53,40,44,1,,51,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2330,Government - State,Yes,,Employed-At Work,1.0,1,24.038249999999998,2601
155500,183410040170505,June,WA,3061.6576,807.69,40,44,1,,30,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1.0,1,20.19225,900
155546,450307963416296,June,WA,3260.002,1153.84,40,44,1,,61,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2330,Government - State,Yes,,Employed-At Work,1.0,1,28.845999999999997,3721
155613,991003595549550,June,WA,3917.8023,1346.15,40,44,1,,63,1,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1.0,0,33.65375,3969
155671,289578329300997,June,WA,3063.3428,1192.3,38,44,1,,53,2,7,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1.0,1,31.376315789473683,2809
155782,594918406029409,June,WV,1606.5221,961.0,40,44,1,,46,2,1,2,3,"Native, Born In US",5,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-Absent,1.0,1,24.025,2116
156011,596958307048429,June,WV,1418.7105,2884.0,50,44,1,,43,2,1,1,4,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-Absent,1.0,1,57.68,1849
156149,44505450013402,June,WI,1804.7048,807.0,40,44,1,,29,2,1,1,3,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,20.175,841
156202,510240045430045,June,WI,2108.985,807.0,40,44,1,,48,2,1,2,8,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,20.175,2304
156249,845592339500931,June,WI,2108.985,1306.12,45,44,1,,49,2,1,0,0,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1.0,1,29.024888888888885,2401
156454,92065184580750,June,WI,2511.0142,1346.15,40,44,1,1.0,51,1,1,1,4,"Native, Born In US",3,Elementary and secondary schools (6111),2320,"Private, For Profit",No,No,Employed-Absent,1.0,0,33.65375,2601
156457,96035141580560,June,WI,1774.6631,1000.0,52,44,1,,32,2,1,2,5,"Native, Born In US",3,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,19.23076923076923,1024
156458,96035141580560,June,WI,1581.0122,884.61,52,44,1,,35,1,1,2,5,"Native, Born In US",3,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1.0,0,17.01173076923077,1225
156738,596938007013649,June,WY,496.5673,1306.0,45,44,7,,39,2,7,3,10,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1.0,1,29.022222222222222,1521
156753,610100701300045,June,WY,282.887,1038.46,40,44,1,,36,2,1,1,3,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1.0,1,25.9615,1296
156805,850607957414797,June,WY,438.0864,346.15,35,44,4,,25,1,7,0,0,"Foreign Born, Not a US Citizen",8,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-At Work,1.0,0,9.889999999999999,625
156948,876799140217509,June,WY,325.6134,1423.07,40,44,1,,44,2,1,2,3,"Native, Born In US",8,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,35.57675,1936
156957,945086867589340,June,WY,325.6134,1153.0,40,44,1,,40,2,1,2,3,"Native, Born In US",8,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1.0,1,28.825,1600
157094,90921408025128,July,AL,2697.4291,653.0,40,46,1,,62,2,1,0,0,"Native, Born In US",6,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-At Work,1.0,1,16.325,3844
157098,98951205078108,July,AL,2528.4162,826.92,45,44,1,,38,2,7,0,0,"Native, Born In US",6,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-Absent,1.0,1,18.375999999999998,1444
157142,210312091906592,July,AL,2729.6194,969.23,37,44,2,,59,2,1,0,0,"Native, Born In US",6,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-Absent,1.0,1,26.195405405405406,3481
